summary_nr,Event Date,Abstract Text,Event Description,Event Keywords,Degree of Injury,Nature of Injury,Part of Body,Event type,Environmental Factor,Human Factor,Task Assigned,hazsub,fat_cause,fall_ht,Project Type,Construction End Use,Building Stories,Project Cost
SYN-001,2026-08-01,Worker entered a confined space without atmospheric testing.,A technician entered a storage vessel to inspect internal components without conducting atmospheric testing before entry. H2S was detected shortly after entry and the worker exited immediately. No injury occurred.,"confined space, H2S, atmospheric testing",No Injury,No injury,None,Exposure to toxic substance,Confined atmosphere,Atmospheric testing not performed,Confined space inspection,Hydrogen sulfide,Toxic gas exposure,,Industrial maintenance,Industrial,1.0,500000
SYN-002,2026-08-03,Worker stood beneath a suspended load during lifting operations.,"During equipment lifting, a worker entered the exclusion zone and stood beneath a suspended pump. The load remained stable and was lowered without incident. No injury occurred.","suspended load, line of fire, lifting",No Injury,No injury,None,Struck by object,Active lifting area,Worker entered exclusion zone,Equipment lifting,,Struck by falling object,,Industrial construction,Industrial,2.0,1200000
SYN-003,2026-08-05,Worker performed roof installation without fall protection.,A worker was installing roofing material approximately 25 feet above ground without an effective fall protection system. The worker maintained balance and completed the task without falling.,"fall hazard, roof, fall protection",No Injury,No injury,None,Fall from elevation,Elevated work area,Fall protection not used,Roof installation,,Fall from elevation,25.0,Building construction,Commercial,3.0,2500000
SYN-004,2026-08-07,Electrical maintenance was performed without lockout tagout.,An electrician began maintenance on an electrical panel without verifying isolation. The circuit was unexpectedly energized during the task. The worker stepped away before contact occurred and no injury resulted.,"electrical, LOTO, energy isolation",No Injury,No injury,None,Contact with electrical energy,Energized equipment,Lockout tagout procedure not followed,Electrical maintenance,,Electrical contact,,Industrial maintenance,Industrial,1.0,800000
SYN-005,2026-08-09,Damaged office chair identified during housekeeping inspection.,A damaged office chair with a loose wheel was identified during a routine housekeeping inspection. The chair was removed from service and replaced. No one was exposed to a significant hazard.,"housekeeping, office, damaged chair",No Injury,No injury,None,Other,Office environment,Equipment condition,Housekeeping inspection,,,,Administrative,Office,2.0,100000
SYN-006,2026-08-12,Worker narrowly avoided a moving vehicle in an active work area.,"A worker walked behind a reversing forklift in an active loading area. The operator stopped after noticing the worker, preventing contact. No injury occurred.","vehicle, line of fire, reversing forklift",No Injury,No injury,None,Struck by vehicle,Congested loading area,Pedestrian entered vehicle operating zone,Material handling,,Vehicle-pedestrian interaction,,Industrial,Warehouse,1.0,700000
SYN-007,2026-08-15,Hot work was started without confirming the permit and gas test.,Contractors began welding near process equipment before the hot work permit was verified and without confirming the required gas test. Work was stopped by an HSE supervisor before ignition of combustible vapors occurred.,"hot work, permit to work, gas test",No Injury,No injury,None,Fire or explosion hazard,Potentially flammable atmosphere,Permit and gas testing requirements not followed,Hot work,Flammable hydrocarbons,Fire/explosion,,Process plant maintenance,Industrial,2.0,1500000
SYN-008,2026-08-18,Worker sustained a minor hand cut while unpacking materials.,A worker received a small superficial cut to the hand while opening packaging material with a utility knife. First aid was provided and the worker returned to normal duties.,"minor cut, hand, packaging",First Aid,Cut/laceration,Hand,Cut by object,Material handling area,Improper cutting technique,Material unpacking,,,,Warehouse,Warehouse,1.0,300000
SYN-009,2026-08-21,Worker entered excavation with inadequate access and unstable edges.,A worker entered a 10-foot excavation where access was inadequate and loose soil was visible along the edge. The worker exited after the condition was identified. No collapse occurred and no injury resulted.,"excavation, trench, collapse, access",No Injury,No injury,None,Cave-in,Unstable excavation walls,Unsafe entry into excavation,Excavation work,,Cave-in,10.0,Civil construction,Infrastructure,,900000
SYN-010,2026-08-25,Worker reported a blocked emergency exit.,"During a routine inspection, an emergency exit was found partially blocked by stored cartons. The cartons were removed immediately. No personnel were trapped or injured.","emergency exit, obstruction, housekeeping",No Injury,No injury,None,Other,Blocked emergency access,Poor housekeeping,Housekeeping inspection,,,,Administrative,Office,1.0,150000
