ID,UPA,EventDate,Employer,Address1,Address2,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Loss of Eye,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title,FederalState
SYN-SI-0001,SYN-UPA-01,2026-01-03,Synthetic Site A,101 Synthetic Industrial Road,Unit 1,Duliajan,Assam,786602,26.017,94.023,211120,Yes,Yes,No,SYN-INSP-0001,A worker was performing confined space entry when toxic gas / oxygen deficiency caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,2,Exposure to harmful substance,2,Vessel / confined space,6,Confined Space related control,State
SYN-SI-0002,SYN-UPA-02,2026-02-06,Synthetic Site B,102 Synthetic Industrial Road,Unit 2,Guwahati,Assam,781001,26.034,94.046,211120,Yes,No,No,SYN-INSP-0002,"While carrying out electrical maintenance, the employee encountered unexpected electrical energy. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,3,Contact with electrical energy,3,Electrical equipment,7,Energy Isolation related control,State
SYN-SI-0003,SYN-UPA-03,2026-03-09,Synthetic Site C,103 Synthetic Industrial Road,Unit 3,Jorhat,Assam,785001,26.051,94.069,211120,Yes,No,Yes,SYN-INSP-0003,"During planned maintenance involving pump maintenance, stored mechanical energy was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,4,Caught in/between,4,Pump / rotating equipment,8,Energy Isolation related control,State
SYN-SI-0004,SYN-UPA-04,2026-04-12,Synthetic Site D,104 Synthetic Industrial Road,Unit 4,Digboi,Assam,786171,26.068,94.092,211120,Yes,No,No,SYN-INSP-0004,"During hot work, a worker was exposed to flammable vapor. The required hot work control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,5,Fire or explosion,5,Welding / cutting equipment,9,Hot Work related control,State
SYN-SI-0005,SYN-UPA-05,2026-05-15,Synthetic Site E,105 Synthetic Industrial Road,Unit 5,Tinsukia,Assam,786125,26.085,94.015,211120,Yes,No,No,SYN-INSP-0005,A worker was performing scaffolding when fall from elevation caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,6,Fall from elevation,6,Scaffold,10,Work at Height related control,State
SYN-SI-0006,SYN-UPA-06,2026-06-18,Synthetic Plant West,106 Synthetic Industrial Road,Unit 6,Vadodara,Gujarat,390001,26.002,94.038,211120,Yes,No,No,SYN-INSP-0006,"While carrying out roof maintenance, the employee encountered fall from elevation. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,7,Fall from elevation,7,Roof / elevated surface,11,Work at Height related control,State
SYN-SI-0007,SYN-UPA-07,2026-07-21,Synthetic Site A,107 Synthetic Industrial Road,Unit 7,Duliajan,Assam,786602,26.019,94.061,211120,Yes,No,No,SYN-INSP-0007,"During planned maintenance involving crane lifting, suspended load was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,8,Struck by object,8,Crane / lifting equipment,12,Safe Mechanical Lifting related control,State
SYN-SI-0008,SYN-UPA-08,2026-08-24,Synthetic Site B,108 Synthetic Industrial Road,Unit 8,Guwahati,Assam,781001,26.036,94.084,211120,Yes,No,No,SYN-INSP-0008,"During material handling, a worker was exposed to struck-by moving object. The required line of fire control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,9,Struck by object,9,Material / equipment,13,Line of Fire related control,State
SYN-SI-0009,SYN-UPA-09,2026-01-27,Synthetic Site C,109 Synthetic Industrial Road,Unit 9,Jorhat,Assam,785001,26.053,94.007,211120,Yes,Yes,No,SYN-INSP-0009,A worker was performing forklift operation when vehicle-pedestrian interaction caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,1,Vehicle incident,10,Powered industrial truck,14,Driving related control,State
SYN-SI-0010,SYN-UPA-10,2026-02-02,Synthetic Site D,110 Synthetic Industrial Road,Unit 10,Digboi,Assam,786171,26.07,94.03,211120,Yes,No,No,SYN-INSP-0010,"While carrying out excavation, the employee encountered cave-in. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,2,Cave-in,11,Excavation / soil,15,Excavation related control,State
