summary_nr,Event Date,Abstract Text,Event Description,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause,fall_ht
SYN-001,2026-08-01,Worker entered confined space without testing.,A technician entered a storage vessel to inspect an internal valve without atmospheric testing. H2S was detected after entry and the worker exited immediately. No injury occurred.,"confined space,H2S,gas testing",Industrial,Industrial,1,1,500000,500000,Industrial maintenance,Industrial maintenance,No Injury,No Injury,No Injury,None,None,Exposure to toxic substance,Exposure to toxic substance,Confined atmosphere,Confined atmosphere,Atmospheric testing not performed,Atmospheric testing not performed,Confined space inspection,Confined space inspection,Hydrogen sulfide,Toxic gas exposure,
SYN-002,2026-08-03,Worker stood beneath a suspended load.,"During equipment lifting, a worker entered the exclusion zone and stood beneath a suspended pump. The load remained stable and was lowered without incident.","suspended load,line of fire,lifting",Industrial,Industrial,2,2,1200000,1200000,Industrial construction,Industrial construction,No Injury,No Injury,No Injury,None,None,Struck by object,Struck by object,Active lifting area,Active lifting area,Worker entered exclusion zone,Worker entered exclusion zone,Equipment lifting,Equipment lifting,,Struck by falling object,
SYN-003,2026-08-05,Roof worker exposed to a fall hazard.,A worker was installing roofing material approximately 25 feet above ground without an effective fall protection system. No fall occurred.,"fall hazard,roof,fall protection",Commercial,Commercial,3,3,2500000,2500000,Building construction,Building construction,No Injury,No Injury,No Injury,None,None,Fall from elevation,Fall from elevation,Elevated work area,Elevated work area,Fall protection not used,Fall protection not used,Roof installation,Roof installation,,Fall from elevation,25.0
SYN-004,2026-08-07,Electrical maintenance started without verified isolation.,"An electrician began maintenance on an electrical panel without verifying isolation. The circuit was unexpectedly energized during the task, but the worker stepped away before contact.","electrical,LOTO,energy isolation",Industrial,Industrial,1,1,800000,800000,Industrial maintenance,Industrial maintenance,No Injury,No Injury,No Injury,None,None,Contact with electrical energy,Contact with electrical energy,Energized equipment,Energized equipment,Lockout tagout not followed,Lockout tagout not followed,Electrical maintenance,Electrical maintenance,,Electrical contact,
SYN-005,2026-08-09,Damaged office chair identified.,A damaged office chair with a loose wheel was found during housekeeping inspection and removed from service. No significant hazard remained.,"housekeeping,office,chair",Office,Office,2,2,100000,100000,Administrative,Administrative,No Injury,No Injury,No Injury,None,None,Other,Other,Office environment,Office environment,Equipment condition,Equipment condition,Housekeeping inspection,Housekeeping inspection,,,
SYN-006,2026-08-12,Worker narrowly avoided reversing forklift.,"A worker walked behind a reversing forklift in an active loading area. The operator stopped after noticing the worker, preventing contact.","vehicle,line of fire,forklift",Warehouse,Warehouse,1,1,700000,700000,Industrial,Industrial,No Injury,No Injury,No Injury,None,None,Struck by vehicle,Struck by vehicle,Congested loading area,Congested loading area,Pedestrian entered vehicle operating zone,Pedestrian entered vehicle operating zone,Material handling,Material handling,,Vehicle-pedestrian interaction,
SYN-007,2026-08-15,Hot work started without permit verification.,Contractors began welding near process equipment before the hot work permit was verified and without confirming the required gas test. Work was stopped before ignition.,"hot work,permit,gas test,fire",Industrial,Industrial,2,2,1500000,1500000,Process plant maintenance,Process plant maintenance,No Injury,No Injury,No Injury,None,None,Fire or explosion hazard,Fire or explosion hazard,Potentially flammable atmosphere,Potentially flammable atmosphere,Permit and gas testing requirements not followed,Permit and gas testing requirements not followed,Hot work,Hot work,Flammable hydrocarbons,Fire/explosion,
SYN-008,2026-08-18,Worker sustained a minor hand cut.,A worker received a small superficial cut to the hand while opening packaging with a utility knife. First aid was provided.,"minor cut,hand,packaging",Warehouse,Warehouse,1,1,300000,300000,Warehouse,Warehouse,First Aid,Cut/laceration,Cut/laceration,Hand,Hand,Cut by object,Cut by object,Material handling area,Material handling area,Improper cutting technique,Improper cutting technique,Material unpacking,Material unpacking,,,
SYN-009,2026-08-21,Worker entered an unstable excavation.,A worker entered a 10-foot excavation where access was inadequate and loose soil was visible along the edge. The worker exited before any collapse.,"excavation,trench,collapse,access",Infrastructure,Infrastructure,0,0,900000,900000,Civil construction,Civil construction,No Injury,No Injury,No Injury,None,None,Cave-in,Cave-in,Unstable excavation walls,Unstable excavation walls,Unsafe entry into excavation,Unsafe entry into excavation,Excavation work,Excavation work,,Cave-in,10.0
SYN-010,2026-08-25,Emergency exit found partially blocked.,A routine inspection found an emergency exit partially blocked by stored cartons. The cartons were removed immediately.,"emergency exit,obstruction,housekeeping",Office,Office,1,1,150000,150000,Administrative,Administrative,No Injury,No Injury,No Injury,None,None,Other,Other,Blocked emergency access,Blocked emergency access,Poor housekeeping,Poor housekeeping,Housekeeping inspection,Housekeeping inspection,,,
